epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,367.312,1.09003,0.9249,1.09395,0.71281,0.6604,0.76011,0.47274,1.40595,1.30091,1.36678,0.00121591,0.00121591,0.00121591
43,376.155,1.0463,0.90694,1.08748,0.8038,0.63494,0.74296,0.46104,1.35777,1.30043,1.34889,0.00120491,0.00120491,0.00120491
44,384.842,0.97046,0.84302,1.07397,0.763,0.62727,0.72425,0.43342,1.43825,1.29612,1.3891,0.00119391,0.00119391,0.00119391
45,393.586,1.0396,0.85828,1.12185,0.763,0.62727,0.72425,0.43342,1.43825,1.29612,1.3891,0.0011829,0.0011829,0.0011829
46,402.301,0.99287,0.82951,1.05926,0.73522,0.70045,0.76036,0.47359,1.38459,1.23255,1.34366,0.0011719,0.0011719,0.0011719
47,410.974,1.04648,0.8581,1.10586,0.80259,0.68485,0.76217,0.47256,1.36535,1.23736,1.33772,0.0011609,0.0011609,0.0011609
48,419.655,0.95875,0.83434,1.08052,0.81754,0.69069,0.76132,0.46715,1.37232,1.25747,1.34294,0.0011499,0.0011499,0.0011499
49,428.259,0.96981,0.81081,1.07778,0.81754,0.69069,0.76132,0.46715,1.37232,1.25747,1.34294,0.00113889,0.00113889,0.00113889
50,436.984,0.95923,0.76446,1.05707,0.79879,0.70281,0.75856,0.46167,1.39143,1.19111,1.35936,0.00112789,0.00112789,0.00112789
51,445.868,1.00633,0.82875,1.10006,0.73812,0.76364,0.7881,0.48597,1.40267,1.14892,1.35884,0.00111689,0.00111689,0.00111689
52,454.544,0.90723,0.75906,1.05201,0.73513,0.72727,0.77478,0.47648,1.41652,1.23227,1.37922,0.00110589,0.00110589,0.00110589
53,463.247,1.00848,0.79026,1.06989,0.73513,0.72727,0.77478,0.47648,1.41652,1.23227,1.37922,0.00109489,0.00109489,0.00109489
54,472.226,0.94993,0.76632,1.04564,0.73534,0.71347,0.75151,0.46666,1.41004,1.28996,1.37186,0.00108388,0.00108388,0.00108388
55,481.105,0.96146,0.77535,1.06619,0.71124,0.73543,0.75004,0.44755,1.437,1.36359,1.41059,0.00107288,0.00107288,0.00107288
56,489.929,0.85798,0.72063,1.01931,0.70944,0.68044,0.71648,0.41837,1.49143,1.41543,1.42658,0.00106188,0.00106188,0.00106188
57,498.744,0.93335,0.75937,1.05898,0.70944,0.68044,0.71648,0.41837,1.49143,1.41543,1.42658,0.00105088,0.00105088,0.00105088
58,507.551,0.93799,0.74744,1.03774,0.64296,0.6303,0.65586,0.3821,1.50348,1.56374,1.41757,0.00103987,0.00103987,0.00103987
59,516.268,0.89828,0.73246,1.0255,0.68836,0.57728,0.66933,0.43205,1.4338,1.45098,1.37963,0.00102887,0.00102887,0.00102887
60,525.293,0.9279,0.7786,1.0383,0.75403,0.6341,0.7203,0.46645,1.36039,1.28679,1.37275,0.00101787,0.00101787,0.00101787
61,532.929,0.9158,0.75127,1.0442,0.75403,0.6341,0.7203,0.46645,1.36039,1.28679,1.37275,0.00100687,0.00100687,0.00100687
